ID,Attrition,Work Life Balance,Job Satisfaction,Marital status,Employment Type,Gender,Department,Salary,Monthly Income,Requested Days,Age
20000000,1,0,0,0,0,1,0,25350,32023.08,8,37
20000001,0,1,1,1,1,1,1,31000,37673.08,0,39
20000002,1,1,1,1,1,1,2,38000,44673.08,29,39
20000003,0,1,0,1,1,1,3,40000,46673.08,120,40
20000004,0,1,1,1,1,1,2,38000,44673.08,33,39
20000005,0,0,2,1,1,1,4,34250,40923.08,0,37
20000006,0,1,0,1,1,0,5,32000,38673.08,76,38
20000007,0,1,0,1,1,1,6,35000,41673.08,5,38
20000008,0,1,0,1,1,1,7,36250,42923.08,82,48
20000009,0,0,0,1,1,1,8,33500,40173.08,0,40
20000010,0,1,1,1,1,1,9,36500,43173.08,206,39
20000011,0,1,0,1,1,0,9,36500,43173.08,30,39
20000012,0,0,0,1,1,0,9,36500,43173.08,167,37
20000013,0,1,2,1,1,1,9,36500,43173.08,30,38
20000014,1,1,1,1,1,1,9,36500,43173.08,44,39
20000015,0,2,0,1,1,0,9,36500,43173.08,15,39
20000016,0,1,1,1,1,1,9,36500,43173.08,77,38
20000017,0,0,2,1,1,1,9,36500,43173.08,0,39
20000018,0,1,2,1,1,1,9,36500,43173.08,48,38
20000019,0,1,2,1,1,1,9,36500,43173.08,3,39
20000020,0,0,0,1,1,1,9,36500,43173.08,74,39
20000021,1,1,1,1,1,1,9,36500,43173.08,0,39
20000022,0,1,1,1,1,1,9,36500,43173.08,46,43
20000023,0,1,2,1,1,1,9,36500,43173.08,7,38
20000024,1,1,1,1,1,1,9,36500,43173.08,83,43
20000025,0,0,0,1,1,1,9,36500,43173.08,0,38
20000026,1,1,1,1,1,1,9,36500,43173.08,80,39
20000027,0,1,1,1,1,1,9,36500,43173.08,13,40
20000028,0,1,2,1,1,0,9,36500,43173.08,65,39
20000029,0,1,0,1,1,1,9,36500,43173.08,0,39
20000030,0,1,2,1,1,1,9,36500,43173.08,60,39
20000031,0,3,2,1,1,0,9,36500,43173.08,10,37
20000032,0,1,0,1,1,1,9,36500,43173.08,97,39
20000033,1,2,3,1,1,1,9,36500,43173.08,0,41
20000034,1,3,3,1,1,0,2,38000,44673.08,86,43
20000035,0,0,0,1,1,0,8,33500,40173.08,5,42
20000036,1,1,1,1,0,0,10,22850,29523.08,44,40
20000037,0,1,2,1,1,0,8,33500,40173.08,0,46
20000038,0,3,0,1,1,0,8,33500,40173.08,87,38
20000039,0,2,0,1,1,1,8,33500,40173.08,8,49
20000040,0,1,2,1,1,1,8,33500,40173.08,47,37
20000041,0,2,0,1,1,1,8,33500,40173.08,2,41
20000042,1,3,3,1,1,1,8,33500,40173.08,284,38
20000043,0,1,0,1,1,1,8,33500,40173.08,120,41
20000044,0,1,2,1,1,0,8,33500,40173.08,54,39
20000045,1,1,1,1,1,1,8,33500,40173.08,0,37
20000046,0,1,0,1,0,1,10,22850,29523.08,78,40
20000047,0,1,1,1,1,1,8,33500,40173.08,22,49
20000048,0,1,2,1,1,1,8,33500,40173.08,195,46
20000049,0,1,2,1,1,1,8,33500,40173.08,0,40
20000050,1,1,1,1,1,1,8,33500,40173.08,151,43
20000051,1,3,3,1,1,1,8,33500,40173.08,7,35
20000052,0,1,0,1,1,0,8,33500,40173.08,149,54
20000053,0,2,0,1,1,1,8,33500,40173.08,0,41
20000054,0,0,2,1,1,1,8,33500,40173.08,42,38
20000055,0,1,2,1,1,0,8,33500,40173.08,8,41
20000056,0,1,0,1,1,0,8,33500,40173.08,62,43
20000057,0,2,0,1,1,0,8,33500,40173.08,0,34
20000058,0,0,2,1,1,1,8,33500,41711.54,161,39
20000059,0,3,0,1,1,1,8,33500,40173.08,7,39
20000060,0,1,2,1,1,1,8,33500,40173.08,69,39
20000061,0,1,2,1,1,0,8,33500,41711.54,0,39
20000062,0,0,0,1,1,1,8,33500,41711.54,95,39
20000063,0,1,0,1,1,0,8,33500,41711.54,120,41
20000064,0,1,0,1,1,0,8,33500,41711.54,75,39
20000065,0,1,0,1,1,1,8,33500,41711.54,0,40
20000066,0,1,1,1,1,1,8,33500,40173.08,53,41
20000067,0,2,0,1,1,1,8,33500,40173.08,30,40
20000068,0,1,0,1,1,1,8,33500,40173.08,29,40
20000069,1,3,3,1,1,0,8,33500,40173.08,20,40
20000070,0,0,0,1,1,0,8,33500,40173.08,42,38
20000071,0,1,1,1,1,0,8,33500,40173.08,15,39
20000072,0,1,1,1,1,0,8,33500,40173.08,70,37
20000073,0,1,1,1,1,1,8,33500,40173.08,0,44
20000074,0,1,2,1,1,1,8,33500,40173.08,92,41
20000075,0,1,2,1,1,0,8,33500,40173.08,23,43
20000076,0,2,0,1,1,1,8,33500,40173.08,43,42
20000077,0,3,0,1,0,0,10,22850,29523.08,0,42
20000078,0,3,0,1,0,1,10,22850,29523.08,60,37
